  PID  PPID  %CPU COMM
  798     1   0.0 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
  800     1   0.0 /System/Library/PrivateFrameworks/MobileAssetDaemon.framework/Versions/A/XPCServices/com.apple.MobileAsset.DownloadService.Builtin.xpc/Contents/MacOS/com.apple.MobileAsset.DownloadService.Builtin
  801     1   0.0 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/com.apple.CodeSigningHelper.xpc/Contents/MacOS/com.apple.CodeSigningHelper
  802     1   0.0 /usr/libexec/audioclocksyncd
  803     1   0.0 /usr/libexec/findmybeaconingd
  804     1   0.1 /usr/sbin/mDNSResponder
  805     1   0.0 /System/Library/CoreServices/TimeMachine/backupd
  806     1   0.0 /usr/sbin/distnoted
  807     1   0.0 /System/Library/Frameworks/ColorSync.framework/Versions/A/XPCServices/com.apple.ColorSyncXPCAgent.xpc/Contents/MacOS/com.apple.ColorSyncXPCAgent
  808     1   0.0 /usr/libexec/com.apple.cmio.videodriverkithostextension.systemextension/Contents/MacOS/com.apple.cmio.videodriverkithostextension
  809     1   0.0 /usr/sbin/appleh13camerad
  810     1   0.0 /System/Library/PrivateFrameworks/PowerLog.framework/Versions/A/XPCServices/PerfPowerTelemetryClientRegistrationService.xpc/Contents/MacOS/PerfPowerTelemetryClientRegistrationService
  811     1   0.0 /System/Library/CoreServices/Software Update.app/Contents/Resources/softwareupdated
  812     1   0.0 /usr/sbin/mDNSResponderHelper
  813     1   0.0 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
  814     1   0.0 /usr/sbin/distnoted
  815     1   0.0 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mds_stores
  817     1   0.0 /usr/libexec/colorsyncd
  818     1   0.0 /usr/libexec/audioanalyticsd
  819     1   0.0 /System/Library/PrivateFrameworks/AppleDeviceQuerySupport.framework/Versions/A/XPCServices/AppleDeviceQueryService.xpc/Contents/MacOS/AppleDeviceQueryService
  820     1   0.0 /usr/libexec/secinitd
  821     1   0.0 /usr/libexec/aneuserd
  822     1   0.0 /usr/libexec/online-auth-agent
  823     1   0.0 /System/Library/PrivateFrameworks/Categories.framework/Versions/A/XPCServices/CategoriesService.xpc/Contents/MacOS/CategoriesService
  824     1   0.0 /usr/libexec/modelmanagerd
  825     1   0.0 /usr/sbin/cfprefsd
  826     1   0.0 /System/Library/CoreServices/appleeventsd
  827     1   0.0 /usr/libexec/trustd
  828     1   0.0 /System/Library/PrivateFrameworks/ModelCatalogRuntime.framework/Versions/A/modelcatalogd
  829     1   0.0 /usr/sbin/distnoted
  830     1   0.0 /usr/libexec/containermanagerd
  832     1   0.0 /usr/libexec/powerdatad
  833     1   0.0 /usr/libexec/ospredictiond
  835     1   0.0 /usr/sbin/distnoted
  837     1   0.0 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/HIServices.framework/Versions/A/XPCServices/com.apple.hiservices-xpcservice.xpc/Contents/MacOS/com.apple.hiservices-xpcservice
  838     1   0.0 /usr/libexec/symptomsd-diag
  839     1   0.0 /usr/libexec/rtcreportingd
  840     1   0.0 /System/Library/PrivateFrameworks/ContextKit.framework/Versions/A/XPCServices/ContextService.xpc/Contents/MacOS/ContextService
  841     1   0.0 /usr/sbin/distnoted
  843     1   0.0 /System/Library/CoreServices/osanalyticshelper
  845     1   0.0 /System/Library/PrivateFrameworks/MobileSoftwareUpdate.framework/Versions/A/XPCServices/com.apple.MobileSoftwareUpdate.CleanupPreparePathService.xpc/Contents/MacOS/com.apple.MobileSoftwareUpdate.CleanupPreparePathService
  847     1   0.0 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
  848     1   0.0 /usr/libexec/secinitd
  849     1   0.0 /usr/sbin/cfprefsd
  850     1   0.0 /usr/libexec/trustd
  851     1   0.0 /usr/libexec/containermanagerd
  852     1   0.0 /usr/libexec/searchpartyd
  853     1   0.0 /usr/sbin/distnoted
  860     1   0.0 /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd
  866     1   0.0 /System/Library/PrivateFrameworks/CloudTelemetry.framework/Versions/A/XPCServices/CloudTelemetryService.xpc/Contents/MacOS/CloudTelemetryService
  868     1   0.0 /usr/libexec/cryptexd
  869     1   0.0 /usr/sbin/distnoted
  871     1   0.0 /usr/sbin/cron
  872     1   0.0 /usr/libexec/storagekitd
  873     1   0.0 /System/Library/PrivateFrameworks/SystemAdministration.framework/XPCServices/writeconfig.xpc/Contents/MacOS/writeconfig
  876     1   0.0 /usr/libexec/mobileactivationd
  878     1   0.0 /usr/libexec/bootinstalld
  879     1   0.0 /System/Library/CoreServices/Software Update.app/Contents/Resources/suhelperd
  881     1   0.0 Core Audio Driver (ParrotAudioPlugin.driver)
  882     1   0.0 Core Audio Driver (ZoomAudioDevice.driver)
  884     1   0.0 /usr/libexec/rosetta/oahd
  885     1   0.0 /System/Library/CoreServices/ReportCrash
  887     1   0.0 /System/Library/DriverExtensions/com.apple.DriverKit-IOUserDockChannelSerial.dext/com.apple.DriverKit-IOUserDockChannelSerial
  888     1   4.0 /System/Library/DriverExtensions/com.apple.DriverKit-AppleBCMWLAN.dext/com.apple.DriverKit-AppleBCMWLAN
  889     1   0.0 /System/Library/DriverExtensions/com.apple.AppleUserHIDDrivers.dext/com.apple.AppleUserHIDDrivers
  900     1   0.0 /System/Library/CoreServices/iconservicesagent
  911     1   0.0 /System/Library/Frameworks/ExtensionFoundation.framework/Versions/A/XPCServices/extensionkitservice.xpc/Contents/MacOS/extensionkitservice
  912     1   0.0 /System/Library/ExtensionKit/Extensions/com.apple.fskit.exfat.appex/Contents/MacOS/com.apple.fskit.exfat
  913     1   0.0 /usr/libexec/fskit_helper
  914     1   0.0 /System/Library/ExtensionKit/Extensions/com.apple.fskit.msdos.appex/Contents/MacOS/com.apple.fskit.msdos
  919     1   0.0 /System/Library/PrivateFrameworks/CoreSymbolication.framework/coresymbolicationd
  931     1   0.9 /usr/libexec/wifip2pd
  934     1   0.0 /usr/libexec/sysmond
  936     1   0.0 /usr/sbin/distnoted
  937     1   0.0 /System/Library/PrivateFrameworks/WiFiPolicy.framework/XPCServices/WiFiCloudAssetsXPCService.xpc/Contents/MacOS/WiFiCloudAssetsXPCService
  947   622   0.0 /usr/sbin/systemstats
  951     1   0.0 /usr/libexec/wifianalyticsd
  954     1   0.7 /System/Library/PrivateFrameworks/Ecosystem.framework/Support/ecosystemd
  959     1   0.0 /Library/PrivilegedHelperTools/com.netease.uumac.helper
  961     1   0.0 /Library/PrivilegedHelperTools/com.warpvpn.apps.WarpVPN.HelperTool
  962     1   0.1 /Applications/Cloudflare WARP.app/Contents/Resources/CloudflareWARP
  963     1   0.0 /Library/Application Support/Apogee/ApogeeGlue/ApogeeGlue.app/Contents/MacOS/ApogeeGlue
  967     1   0.0 /Library/PrivilegedHelperTools/com.warpvpn.desktop.Helper
  968     1   0.0 /Library/PrivilegedHelperTools/SSLVPNCD
  969     1   0.0 /Library/PrivilegedHelperTools/com.docker.vmnetd
  970     1   0.0 /Library/PrivilegedHelperTools/licenseDaemon.app/Contents/MacOS/licenseDaemon
  971     1   0.0 /usr/libexec/cameracaptured
  972     1   0.0 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/UVCAssistant.systemextension/Contents/MacOS/UVCAssistant
  973     1   0.0 /usr/libexec/containermanagerd
  977     1   0.0 /System/Library/CoreServices/sharedfilelistd
  987     1   0.0 /usr/sbin/systemsoundserverd
  996     1   0.0 /usr/libexec/gamepolicyd
  998     1   0.0 /System/Library/Frameworks/GSS.framework/Helpers/GSSCred
 1000     1   0.0 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
 1002     1   0.0 /usr/libexec/applekeystored
 1003     1   0.0 /usr/libexec/tailspind
 1011     1   0.0 /usr/libexec/gamecontrollerd
 1012     1   0.0 /usr/libexec/seld
 1013     1   0.0 /usr/libexec/uarpd
 1028     1   0.0 /usr/libexec/captiveagent
 1032     1   0.0 /usr/sbin/distnoted
 1036     1   0.0 /usr/libexec/findmydeviced
 1038     1   0.0 /System/Library/PrivateFrameworks/AppSSO.framework/Support/AppSSODaemon
 1101     1   0.0 /usr/libexec/wallpaperexportd
 1108     1   0.0 /System/Library/PrivateFrameworks/CoreADI.framework/adid
 1116     1   0.0 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd
 1126     1   0.0 /usr/libexec/nfcd
 1136     1   0.0 /usr/libexec/assetsubscriptiond
 1142     1   0.0 /System/Library/PrivateFrameworks/NearFieldPrivateServices.framework/Versions/A/XPCServices/NFStorageServer.xpc/Contents/MacOS/NFStorageServer
 1145     1   0.0 /usr/sbin/distnoted
 1152     1   0.0 /usr/sbin/filecoordinationd
 1154     1   0.0 /usr/libexec/countryd
 1155     1   0.0 /System/Library/PrivateFrameworks/UARPAssetManager.framework/XPCServices/UARPAssetManagerServiceMobileAsset.xpc/Contents/MacOS/UARPAssetManagerServiceMobileAsset
 1175     1   0.0 /System/Library/PrivateFrameworks/CacheDelete.framework/deleted_helper
 1193     1   0.0 /System/Library/PrivateFrameworks/PackageKit.framework/Resources/system_installd
 1194     1   0.0 /usr/libexec/AssetCache/AssetCache
 1195     1   0.0 /System/Library/PrivateFrameworks/AssetCacheServicesExtensions.framework/XPCServices/AssetCacheTetheratorService.xpc/Contents/MacOS/AssetCacheTetheratorService
 1196     1   0.0 /System/Library/PrivateFrameworks/PackageKit.framework/Resources/installd
 1209     1   0.0 /usr/sbin/distnoted
 1224     1   0.4 /usr/libexec/nearbyd
 1297     1   0.0 /System/Library/PrivateFrameworks/AssetCacheServices.framework/Versions/A/XPCServices/AssetCacheLocatorService.xpc/Contents/MacOS/AssetCacheLocatorService
 1301     1   0.0 /usr/sbin/distnoted
 1309     1   0.0 /System/Library/CoreServices/SubmitDiagInfo
 1322     1   0.0 /System/Library/CoreServices/CrashReporterSupportHelper
 1346     1   0.9 /usr/sbin/cfprefsd
 1351     1   0.0 /usr/libexec/lsd
 1355     1   0.0 /usr/libexec/trustd
 1373     1   0.0 /System/Library/PrivateFrameworks/WiFiPolicy.framework/XPCServices/WiFiCloudAssetsXPCService.xpc/Contents/MacOS/WiFiCloudAssetsXPCService
 1388     1   0.0 /System/Library/CoreServices/Installer Progress.app/Contents/MacOS/Installer Progress
 1390     1   0.0 /System/Library/CoreServices/loginwindow.app/Contents/MacOS/loginwindow
 1398     1  49.7 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer
 1414     1   0.0 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp
 1419     1   0.0 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
 1427     1   0.0 /usr/libexec/secd
 1428     1   0.0 /System/Library/PrivateFrameworks/CoreKDL.framework/Support/corekdld
 1429     1   0.0 /usr/libexec/UserEventAgent
 1431     1   0.0 /System/Library/CoreServices/ControlCenter.app/Contents/MacOS/ControlCenter
 1432     1   0.0 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/ContextStoreAgent
 1433     1   0.0 /System/Library/CoreServices/CoreServicesUIAgent.app/Contents/MacOS/CoreServicesUIAgent
 1434     1   0.0 /usr/sbin/universalaccessd
 1436     1   0.0 /usr/libexec/pboard
 1438     1   0.0 /usr/libexec/containermanagerd
 1439     1   0.0 /System/Library/PrivateFrameworks/BackgroundTaskManagement.framework/Support/BackgroundTaskManagementAgent.app/Contents/MacOS/BackgroundTaskManagementAgent
 1440     1   0.0 /System/Library/Frameworks/InputMethodKit.framework/Resources/imklaunchagent
 1441     1   0.0 /System/Library/PrivateFrameworks/BiomeStreams.framework/Support/BiomeAgent
 1442     1   0.0 /usr/libexec/pkd
 1443     1   0.0 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/corespotlightd
 1444     1   0.0 /usr/libexec/linkd
 1445     1   0.0 /System/Library/PrivateFrameworks/AccessibilitySupport.framework/Versions/A/Resources/AccessibilityVisualsAgent.app/Contents/MacOS/AccessibilityVisualsAgent
 1446     1   0.0 /System/Library/Frameworks/CoreTelephony.framework/Support/CommCenter
 1447     1   0.0 /System/Library/CoreServices/APFSUserAgent
 1449     1   0.0 /usr/libexec/nsurlsessiond
 1450     1   0.0 /usr/sbin/usernoted
 1451     1   0.0 /usr/libexec/routined
 1452     1   0.5 /usr/libexec/rapportd
 1453     1   0.0 /System/Library/CoreServices/CoreLocationAgent.app/Contents/MacOS/CoreLocationAgent
 1454     1   0.0 /System/Library/PrivateFrameworks/TelephonyUtilities.framework/callservicesd
 1455     1   0.0 /usr/libexec/searchpartyuseragent
 1456     1   0.0 /System/Library/PrivateFrameworks/SyncedDefaults.framework/Support/syncdefaultsd
 1457     1   0.0 /System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/Contents/MacOS/identityservicesd
 1458     1   0.0 /System/Library/Frameworks/Accounts.framework/Versions/A/Support/accountsd
 1463     1   0.0 /System/Library/PrivateFrameworks/ScreenTimeCore.framework/Versions/A/ScreenTimeAgent
 1464     1   0.0 /System/Library/PrivateFrameworks/SystemMigrationNetwork.framework/Resources/migrationhelper
 1465     1   0.0 /usr/libexec/secinitd
 1467     1   0.0 /System/Library/PrivateFrameworks/PhotoLibraryServices.framework/Versions/A/Support/photolibraryd
 1468     1   0.0 /System/Library/PrivateFrameworks/UserNotificationsCore.framework/Support/usernotificationsd
 1469     1   0.0 /usr/libexec/networkserviceproxy
 1470     1   0.0 /usr/libexec/assessmentagent
 1471     1   0.0 /System/Library/PrivateFrameworks/CloudServices.framework/Helpers/com.apple.sbd
 1472     1   0.0 /System/Library/PrivateFrameworks/CoreAnalytics.framework/Support/analyticsagent
 1473     1   0.0 /System/Library/PrivateFrameworks/CloudSubscriptionFeatures.framework/FeatureAccessAgent
 1474     1   0.0 /System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent
 1475     1   0.0 /System/Library/PrivateFrameworks/TCC.framework/Support/tccd
 1476     1   0.0 /System/Library/PrivateFrameworks/FileProvider.framework/Support/fileproviderd
 1477     1   0.0 /System/Library/PrivateFrameworks/ContinuousDialogManagerService.framework/assistant_cdmd
 1478     1   0.0 /usr/libexec/duetexpertd
 1479     1   0.0 /usr/libexec/mobilerepaird
 1480     1   0.0 /System/Library/PrivateFrameworks/UsageTracking.framework/Versions/A/UsageTrackingAgent
 1481     1   0.0 /usr/libexec/triald
 1482     1   0.0 /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd
 1483     1   0.0 /System/Library/PrivateFrameworks/DoNotDisturbServer.framework/Support/donotdisturbd
 1484     1   0.0 /usr/libexec/neagent
 1485     1   0.0 /System/Library/PrivateFrameworks/IMCore.framework/imagent.app/Contents/MacOS/imagent
 1487     1   0.0 /usr/libexec/findmylocateagent
 1488     1   0.0 /System/Cryptexes/App/usr/libexec/SafariBookmarksSyncAgent
 1489     1   0.6 /usr/libexec/sharingd
 1490     1   0.0 /System/Library/PrivateFrameworks/CacheDelete.framework/deleted
 1491     1   0.0 /System/Library/CoreServices/diagnostics_agent
 1493     1   0.0 /System/Library/PrivateFrameworks/IMDPersistence.framework/XPCServices/IMDPersistenceAgent.xpc/Contents/MacOS/IMDPersistenceAgent
 1494     1   0.0 /usr/libexec/transparencyd
 1495     1   0.0 /System/Library/PrivateFrameworks/SocialLayer.framework/sociallayerd.app/Contents/MacOS/sociallayerd
 1496     1   0.0 /System/Library/PrivateFrameworks/CoreSuggestions.framework/Versions/A/Support/suggestd
 1497     1   0.0 /usr/libexec/frauddefensed
 1498     1   0.0 /System/Library/Frameworks/ManagedSettings.framework/Versions/A/ManagedSettingsAgent
 1499     1   0.0 /usr/libexec/knowledge-agent
 1500     1   0.0 /System/Library/CoreServices/sharedfilelistd
 1501     1   0.0 /System/Library/PrivateFrameworks/CoreFollowUp.framework/Versions/A/Support/followupd
 1502     1   0.0 /usr/libexec/siriknowledged
 1503     1   0.0 /System/Library/CoreServices/ScopedBookmarkAgent
 1506     1   0.0 /usr/libexec/dmd
 1507     1   0.0 /System/Library/PrivateFrameworks/FamilyCircle.framework/Versions/A/Resources/familycircled
 1508     1   0.0 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
 1509     1   0.0 /usr/libexec/appleaccountd
 1510     1   0.0 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
 1511     1   0.0 /System/Library/PrivateFrameworks/ContextKit.framework/Versions/A/XPCServices/ContextService.xpc/Contents/MacOS/ContextService
 1512     1   0.0 /System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/Support/akd
 1513     1   0.0 /System/Library/PrivateFrameworks/AppSSO.framework/Support/AppSSOAgent.app/Contents/MacOS/AppSSOAgent
 1514     1   0.0 /System/Library/PrivateFrameworks/JetCore.framework/Support/jetpackassetd
 1515     1   0.0 /System/Library/PrivateFrameworks/CloudTelemetry.framework/Versions/A/XPCServices/CloudTelemetryService.xpc/Contents/MacOS/CloudTelemetryService
 1517     1   0.0 /System/Library/PrivateFrameworks/ReplicatorCore.framework/Support/replicatord
 1518     1   0.0 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
 1519     1   0.0 /System/Library/CoreServices/talagentd
 1520     1   0.0 /System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A/Support/assistantd
 1521     1   0.0 /System/Library/CoreServices/WindowManager.app/Contents/MacOS/WindowManager
 1522     1   0.0 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/HIServices.framework/Versions/A/XPCServices/com.apple.hiservices-xpcservice.xpc/Contents/MacOS/com.apple.hiservices-xpcservice
 1523     1   0.0 /System/Library/PrivateFrameworks/CoreCDP.framework/Versions/A/Resources/cdpd
 1524     1   0.0 /System/Library/PrivateFrameworks/ChronoCore.framework/Support/chronod
 1525     1   0.0 /System/Library/PrivateFrameworks/StatusKit.framework/StatusKitAgent
 1526     1   0.0 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/TrustedPeersHelper.xpc/Contents/MacOS/TrustedPeersHelper
 1527     1   0.0 /System/Library/CoreServices/NotificationCenter.app/Contents/MacOS/NotificationCenter
 1528     1   0.0 /usr/libexec/swtransparencyd
 1529     1   0.0 /System/Library/PrivateFrameworks/CloudTelemetry.framework/Versions/A/XPCServices/CloudTelemetryService.xpc/Contents/MacOS/CloudTelemetryService
 1532     1   0.0 /System/Library/PrivateFrameworks/GeoAnalytics.framework/geoanalyticsd
 1533     1   0.0 /usr/libexec/ContinuityCaptureAgent
 1538     1   0.0 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/CarbonCore.framework/Versions/A/XPCServices/csnameddatad.xpc/Contents/MacOS/csnameddatad
 1540     1   0.0 /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
 1542     1   0.0 /System/Library/CoreServices/iconservicesagent
 1543     1   0.0 /System/Library/PrivateFrameworks/StreamingZip.framework/Versions/A/XPCServices/com.apple.StreamingUnzipService.privileged.xpc/Contents/MacOS/com.apple.StreamingUnzipService.privileged
 1544     1   0.0 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/DictionaryServices.framework/Versions/A/XPCServices/com.apple.DictionaryServiceHelper.xpc/Contents/MacOS/com.apple.DictionaryServiceHelper
 1545     1   0.0 /usr/libexec/keyboardservicesd
 1546     1   0.0 /System/Library/PrivateFrameworks/AppleMediaServices.framework/Resources/amsaccountsd
 1547     1   0.0 /System/Library/PrivateFrameworks/AppleDeviceQuerySupport.framework/Versions/A/XPCServices/AppleDeviceQueryService.xpc/Contents/MacOS/AppleDeviceQueryService
 1548     1   0.0 /usr/bin/open
 1549     1   0.0 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd
 1550     1   0.0 /System/Library/PrivateFrameworks/TrialServer.framework/Versions/A/XPCServices/TrialArchivingService.xpc/Contents/MacOS/TrialArchivingService
 1552     1   0.0 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
 1553     1   0.0 /System/Library/PrivateFrameworks/AXAssetLoader.framework/Support/axassetsd
 1554     1   0.0 /System/Library/CoreServices/pbs
 1555     1   0.0 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mdbulkimport
 1556     1   0.0 /System/Library/PrivateFrameworks/StreamingExtractor.framework/Versions/A/XPCServices/STExtractionService.privileged.xpc/Contents/MacOS/STExtractionService.privileged
 1557     1   0.0 /System/Library/PrivateFrameworks/TextToSpeechVoiceBankingSupport.framework/Support/voicebankingd
 1558     1   0.0 /System/Library/Frameworks/AudioToolbox.framework/AudioComponentRegistrar
 1560     1   0.0 /System/Library/PrivateFrameworks/MediaAnalysis.framework/Versions/A/mediaanalysisd
 1561     1   0.0 /usr/libexec/GamePolicyAgent
 1562     1   0.0 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
 1563     1   0.0 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
